X,ieee802154Narrow.anchor[16].appl/Effectiveness in each anchor
1.86,1
4.28,0.865385
6.7,0.794856
9.12,0.759802
11.54,0.744272
13.96,0.837087
16.38,0.861697
18.8,0.858229
21.22,0.83256
23.64,0.792099
26.06,0.801033
28.48,0.752012
30.9,0.750406
33.32,0.806851
35.74,0.817671
38.16,0.889181
40.58,0.877596
43,0.84206
45.42,0.826721
47.84,0.826898
50.26,0.859646
52.68,0.904582
55.1,0.904923
57.52,0.897516
59.94,0.91969
62.36,0.915554
64.78,0.951224
67.2,0.985335
69.62,0.977209
72.04,0.988053
74.46,0.963189
76.88,0.954479
79.3,0.96622
81.72,0.957595
84.14,0.982299
86.56,0.991228
88.98,0.991228
91.4,1
93.82,1
96.24,0.995283
98.66,0.987743
101.08,0.972663
103.5,0.964636
105.92,0.969208
108.34,0.976784
110.76,0.968498
113.18,0.976562
115.6,0.968498
118.02,0.960433
120.44,0.983871
122.86,0.983871
125.28,0.991935
127.7,0.983871
130.12,0.954459
132.54,0.947106
134.96,0.947106
137.38,0.951457
139.8,0.976171
142.22,0.97886
144.64,0.967796
147.06,0.975098
149.48,0.975181
151.9,0.97978
154.32,0.990909
156.74,0.990738
159.16,0.995283
161.58,0.988558
164,0.988558
166.42,0.988887
168.84,0.975092
171.26,0.954971
173.68,0.954971
176.1,0.932762
178.52,0.94602
180.94,0.968624
183.36,0.964552
185.78,0.987202
188.2,0.987202
190.62,0.991667
193.04,0.989282
195.46,0.984707
197.88,0.97476
200.3,0.970713
202.72,0.951857
205.14,0.943539
207.56,0.936083
209.98,0.918046
212.4,0.936982
214.82,0.898742
217.24,0.848883
219.66,0.828731
222.08,0.801203
224.5,0.786642
226.92,0.814136
229.34,0.811936
231.76,0.8063
234.18,0.857924
236.6,0.892378
239.02,0.913953
241.44,0.917089
243.86,0.927213
246.28,0.919392
248.7,0.935346
251.12,0.939497
253.54,0.945567
255.96,0.928478
258.38,0.915791
260.8,0.920868
263.22,0.901971
265.64,0.863297
268.06,0.855791
270.48,0.87358
272.9,0.892316
275.32,0.962907
277.74,0.991228
280.16,1
282.58,1
285,1
287.42,1
289.84,1
292.26,1
294.68,1
297.1,1
299.52,1
301.94,0.995192
304.36,0.990192
306.78,0.985475
309.2,0.980668
311.62,0.985475
314.04,0.990475
316.46,0.995192
318.88,1
321.3,1
323.72,1
326.14,1
328.56,1
330.98,1
333.4,1
335.82,1
338.24,1
340.66,0.994898
343.08,0.994898
345.5,0.994898
347.92,0.985332
350.34,0.990385
352.76,0.990385
355.18,0.990385
357.6,1
360.02,0.977273
362.44,0.977273
364.86,0.950359
367.28,0.950359
369.7,0.972986
372.12,0.972986
374.54,1
376.96,0.99569
379.38,0.99569
381.8,0.99569
384.22,0.99569
386.64,1
389.06,0.977273
391.48,0.977273
393.9,0.977273
396.32,0.977273
398.74,1
401.16,1
403.58,1
406,1
408.42,0.996032
410.84,0.991933
413.26,0.991933
415.68,0.991933
418.1,0.991995
420.52,0.992306
422.94,0.965791
425.36,0.954072
427.78,0.94644
430.2,0.942415
432.62,0.964962
435.04,0.968744
437.46,0.97625
439.88,0.980031
442.3,0.979967
444.72,0.983805
447.14,0.98367
449.56,0.983238
451.98,0.97818
454.4,0.982278
456.82,0.986445
459.24,0.990909
461.66,0.995098
464.08,0.995098
466.5,0.985839
468.92,0.959071
471.34,0.963861
473.76,0.950535
476.18,0.959583
478.6,0.981556
481.02,0.981556
483.44,0.995192
