X,ieee802154Narrow.anchor[8].appl/Dropped Packets in AN - No ACK received
1.86,11
4.28,0
6.7,1
9.12,0
11.54,0
13.96,1
16.38,2
18.8,0
21.22,1
23.64,0
26.06,0
28.48,2
30.9,1
33.32,0
35.74,2
38.16,2
40.58,2
43,1
45.42,1
47.84,3
50.26,0
52.68,0
55.1,0
57.52,1
59.94,0
62.36,0
64.78,0
67.2,2
69.62,0
72.04,2
74.46,4
76.88,3
79.3,4
81.72,0
84.14,1
86.56,1
88.98,0
91.4,0
93.82,3
96.24,0
98.66,1
101.08,2
103.5,3
105.92,0
108.34,2
110.76,2
113.18,0
115.6,2
118.02,0
120.44,1
122.86,3
125.28,1
127.7,1
130.12,0
132.54,0
134.96,1
137.38,0
139.8,1
142.22,1
144.64,2
147.06,0
149.48,0
151.9,0
154.32,0
156.74,1
159.16,0
161.58,1
164,0
166.42,0
168.84,1
171.26,0
173.68,0
176.1,3
178.52,0
180.94,0
183.36,0
185.78,0
188.2,1
190.62,1
193.04,1
195.46,0
197.88,1
200.3,0
202.72,1
205.14,0
207.56,1
209.98,0
212.4,0
214.82,0
217.24,0
219.66,2
222.08,1
224.5,0
226.92,0
229.34,0
231.76,3
234.18,0
236.6,0
239.02,1
241.44,2
243.86,1
246.28,0
248.7,1
251.12,0
253.54,0
255.96,1
258.38,0
260.8,2
263.22,0
265.64,0
268.06,0
270.48,0
272.9,0
275.32,0
277.74,0
280.16,0
282.58,3
285,0
287.42,0
289.84,0
292.26,0
294.68,0
297.1,1
299.52,0
301.94,1
304.36,1
306.78,0
309.2,4
311.62,1
314.04,0
316.46,0
318.88,0
321.3,0
323.72,0
326.14,2
328.56,2
330.98,0
333.4,1
335.82,1
338.24,1
340.66,1
343.08,0
345.5,0
347.92,1
350.34,0
352.76,0
355.18,1
357.6,1
360.02,1
362.44,0
364.86,2
367.28,1
369.7,1
372.12,1
374.54,0
376.96,0
379.38,1
381.8,0
384.22,0
386.64,4
389.06,0
391.48,0
393.9,0
396.32,2
398.74,0
401.16,0
403.58,2
406,0
408.42,2
410.84,3
413.26,0
415.68,0
418.1,0
420.52,0
422.94,1
425.36,2
427.78,0
430.2,0
432.62,8
435.04,2
437.46,2
439.88,0
442.3,1
444.72,2
447.14,0
449.56,0
451.98,2
454.4,0
456.82,0
459.24,1
461.66,0
464.08,1
466.5,0
468.92,0
471.34,3
473.76,0
476.18,0
478.6,2
481.02,1
483.44,0
