X,ieee802154Narrow.computer[0].appl/Number of packets sent from anchor 8
1.86,4
4.28,4
6.7,4
9.12,4
11.54,4
13.96,4
16.38,4
18.8,4
21.22,4
23.64,4
26.06,4
28.48,4
30.9,5
33.32,6
35.74,6
38.16,7
40.58,7
43,7
45.42,7
47.84,7
50.26,7
52.68,7
55.1,8
57.52,8
59.94,8
62.36,7
64.78,7
67.2,7
69.62,7
72.04,7
74.46,7
76.88,7
79.3,7
81.72,6
84.14,6
86.56,6
88.98,6
91.4,7
93.82,7
96.24,7
98.66,7
101.08,7
103.5,7
105.92,7
108.34,6
110.76,6
113.18,6
115.6,6
118.02,6
120.44,6
122.86,6
125.28,6
127.7,6
130.12,6
132.54,6
134.96,6
137.38,6
139.8,5
142.22,4
144.64,4
147.06,5
149.48,5
151.9,5
154.32,5
156.74,5
159.16,5
161.58,5
164,5
166.42,7
168.84,7
171.26,7
173.68,6
176.1,6
178.52,6
180.94,6
183.36,5
185.78,5
188.2,5
190.62,5
193.04,5
195.46,5
197.88,5
200.3,5
202.72,5
205.14,5
207.56,5
209.98,5
212.4,5
214.82,5
217.24,5
219.66,3
222.08,3
224.5,3
226.92,2
229.34,2
231.76,2
234.18,2
236.6,2
239.02,2
241.44,2
243.86,2
246.28,2
248.7,2
251.12,2
253.54,1
255.96,1
258.38,1
260.8,1
263.22,1
265.64,2
268.06,2
270.48,2
272.9,2
275.32,3
277.74,3
280.16,3
282.58,3
285,3
287.42,3
289.84,3
292.26,3
294.68,3
297.1,2
299.52,2
301.94,2
304.36,3
306.78,3
309.2,2
311.62,2
314.04,2
316.46,2
318.88,2
321.3,2
323.72,2
326.14,3
328.56,3
330.98,3
333.4,3
335.82,4
338.24,4
340.66,4
343.08,4
345.5,4
347.92,4
350.34,5
352.76,6
355.18,6
357.6,6
360.02,6
362.44,6
364.86,6
367.28,6
369.7,6
372.12,6
374.54,6
376.96,7
379.38,7
381.8,7
384.22,7
386.64,7
389.06,7
391.48,7
393.9,7
396.32,7
398.74,7
401.16,7
403.58,7
406,7
408.42,7
410.84,7
413.26,7
415.68,7
418.1,6
420.52,5
422.94,5
425.36,5
427.78,5
430.2,5
432.62,6
435.04,6
437.46,6
439.88,6
442.3,5
444.72,4
447.14,4
449.56,4
451.98,3
454.4,4
456.82,4
459.24,4
461.66,5
464.08,5
466.5,4
468.92,4
471.34,4
473.76,5
476.18,5
478.6,5
481.02,5
483.44,5
