X,ieee802154Narrow.computer[0].appl/Number of packets sent from mobile node 0
1.86,1
4.28,4
6.7,4
9.12,4
11.54,4
13.96,4
16.38,4
18.8,4
21.22,4
23.64,6
26.06,5
28.48,5
30.9,6
33.32,6
35.74,6
38.16,6
40.58,5
43,6
45.42,6
47.84,6
50.26,6
52.68,5
55.1,6
57.52,4
59.94,4
62.36,4
64.78,4
67.2,6
69.62,6
72.04,6
74.46,6
76.88,6
79.3,6
81.72,6
84.14,5
86.56,6
88.98,6
91.4,6
93.82,6
96.24,6
98.66,6
101.08,6
103.5,4
105.92,4
108.34,4
110.76,5
113.18,6
115.6,5
118.02,6
120.44,6
122.86,6
125.28,6
127.7,6
130.12,6
132.54,6
134.96,6
137.38,5
139.8,6
142.22,6
144.64,4
147.06,4
149.48,5
151.9,4
154.32,4
156.74,4
159.16,4
161.58,4
164,4
166.42,4
168.84,4
171.26,3
173.68,4
176.1,4
178.52,5
180.94,5
183.36,4
185.78,4
188.2,6
190.62,5
193.04,6
195.46,6
197.88,6
200.3,5
202.72,6
205.14,6
207.56,5
209.98,5
212.4,6
214.82,6
217.24,4
219.66,4
222.08,3
224.5,3
226.92,6
229.34,5
231.76,6
234.18,5
236.6,6
239.02,6
241.44,7
243.86,7
246.28,7
248.7,7
251.12,6
253.54,7
255.96,7
258.38,7
260.8,6
263.22,7
265.64,6
268.06,5
270.48,7
272.9,7
275.32,7
277.74,8
280.16,8
282.58,8
285,8
287.42,7
289.84,7
292.26,7
294.68,7
297.1,7
299.52,7
301.94,7
304.36,7
306.78,7
309.2,7
311.62,7
314.04,8
316.46,7
318.88,7
321.3,7
323.72,7
326.14,6
328.56,7
330.98,7
333.4,7
335.82,7
338.24,7
340.66,7
343.08,8
345.5,8
347.92,7
350.34,7
352.76,7
355.18,7
357.6,7
360.02,7
362.44,6
364.86,7
367.28,7
369.7,7
372.12,7
374.54,7
376.96,7
379.38,7
381.8,7
384.22,6
386.64,7
389.06,6
391.48,7
393.9,7
396.32,7
398.74,7
401.16,7
403.58,7
406,8
408.42,7
410.84,7
413.26,8
415.68,7
418.1,7
420.52,7
422.94,7
425.36,7
427.78,7
430.2,7
432.62,7
435.04,7
437.46,7
439.88,6
442.3,7
444.72,8
447.14,7
449.56,7
451.98,7
454.4,7
456.82,7
459.24,7
461.66,6
464.08,7
466.5,7
468.92,7
471.34,7
473.76,7
476.18,6
478.6,5
481.02,6
483.44,6
