X,ieee802154Narrow.anchor[8].appl/Dropped Packets in AN - Max MAC BackOff tries
1.86,6
4.28,2
6.7,3
9.12,3
11.54,2
13.96,3
16.38,1
18.8,0
21.22,2
23.64,4
26.06,1
28.48,3
30.9,1
33.32,4
35.74,2
38.16,3
40.58,1
43,2
45.42,1
47.84,3
50.26,1
52.68,2
55.1,1
57.52,0
59.94,0
62.36,1
64.78,1
67.2,1
69.62,1
72.04,2
74.46,4
76.88,2
79.3,2
81.72,1
84.14,2
86.56,1
88.98,4
91.4,3
93.82,2
96.24,5
98.66,6
101.08,1
103.5,2
105.92,2
108.34,0
110.76,2
113.18,3
115.6,1
118.02,3
120.44,1
122.86,0
125.28,3
127.7,1
130.12,1
132.54,2
134.96,6
137.38,2
139.8,1
142.22,2
144.64,2
147.06,3
149.48,4
151.9,3
154.32,3
156.74,2
159.16,6
161.58,1
164,2
166.42,0
168.84,0
171.26,0
173.68,0
176.1,4
178.52,0
180.94,2
183.36,7
185.78,5
188.2,2
190.62,2
193.04,1
195.46,1
197.88,3
200.3,3
202.72,0
205.14,0
207.56,1
209.98,3
212.4,2
214.82,3
217.24,2
219.66,2
222.08,1
224.5,2
226.92,1
229.34,0
231.76,2
234.18,1
236.6,2
239.02,0
241.44,1
243.86,1
246.28,2
248.7,2
251.12,1
253.54,3
255.96,3
258.38,0
260.8,1
263.22,4
265.64,1
268.06,1
270.48,3
272.9,1
275.32,1
277.74,2
280.16,5
282.58,5
285,4
287.42,2
289.84,1
292.26,1
294.68,0
297.1,4
299.52,2
301.94,1
304.36,3
306.78,5
309.2,1
311.62,6
314.04,3
316.46,2
318.88,2
321.3,6
323.72,2
326.14,2
328.56,4
330.98,5
333.4,0
335.82,0
338.24,0
340.66,1
343.08,2
345.5,1
347.92,7
350.34,1
352.76,0
355.18,3
357.6,1
360.02,0
362.44,0
364.86,0
367.28,0
369.7,0
372.12,1
374.54,1
376.96,1
379.38,1
381.8,1
384.22,0
386.64,1
389.06,1
391.48,2
393.9,1
396.32,1
398.74,1
401.16,2
403.58,1
406,0
408.42,1
410.84,0
413.26,0
415.68,1
418.1,0
420.52,0
422.94,0
425.36,1
427.78,0
430.2,0
432.62,0
435.04,1
437.46,3
439.88,2
442.3,1
444.72,2
447.14,0
449.56,0
451.98,3
454.4,1
456.82,0
459.24,0
461.66,0
464.08,0
466.5,0
468.92,8
471.34,0
473.76,0
476.18,2
478.6,3
481.02,2
483.44,3
