X,ieee802154Narrow.computer[0].appl/received-packets-per-period
1.86,84
4.28,81
6.7,88
9.12,92
11.54,94
13.96,96
16.38,96
18.8,97
21.22,94
23.64,95
26.06,93
28.48,94
30.9,92
33.32,87
35.74,90
38.16,89
40.58,86
43,85
45.42,93
47.84,88
50.26,91
52.68,90
55.1,92
57.52,92
59.94,99
62.36,98
64.78,98
67.2,101
69.62,99
72.04,101
74.46,100
76.88,101
79.3,98
81.72,102
84.14,102
86.56,99
88.98,104
91.4,100
93.82,103
96.24,107
98.66,102
101.08,103
103.5,100
105.92,102
108.34,108
110.76,105
113.18,105
115.6,102
118.02,102
120.44,103
122.86,104
125.28,102
127.7,99
130.12,97
132.54,96
134.96,98
137.38,99
139.8,99
142.22,102
144.64,104
147.06,97
149.48,101
151.9,103
154.32,103
156.74,101
159.16,99
161.58,101
164,101
166.42,103
168.84,106
171.26,105
173.68,101
176.1,102
178.52,101
180.94,105
183.36,108
185.78,110
188.2,107
190.62,108
193.04,112
195.46,103
197.88,105
200.3,106
202.72,103
205.14,96
207.56,106
209.98,104
212.4,106
214.82,103
217.24,104
219.66,100
222.08,100
224.5,100
226.92,103
229.34,105
231.76,107
234.18,108
236.6,105
239.02,103
241.44,100
243.86,105
246.28,117
248.7,112
251.12,103
253.54,106
255.96,107
258.38,107
260.8,109
263.22,103
265.64,100
268.06,98
270.48,96
272.9,98
275.32,106
277.74,104
280.16,109
282.58,102
285,105
287.42,109
289.84,101
292.26,101
294.68,102
297.1,100
299.52,101
301.94,102
304.36,100
306.78,103
309.2,104
311.62,103
314.04,97
316.46,100
318.88,96
321.3,97
323.72,95
326.14,92
328.56,92
330.98,95
333.4,94
335.82,94
338.24,95
340.66,97
343.08,99
345.5,97
347.92,95
350.34,97
352.76,94
355.18,100
357.6,96
360.02,100
362.44,103
364.86,100
367.28,99
369.7,99
372.12,97
374.54,93
376.96,101
379.38,93
381.8,96
384.22,95
386.64,94
389.06,95
391.48,93
393.9,91
396.32,91
398.74,95
401.16,93
403.58,95
406,95
408.42,97
410.84,96
413.26,97
415.68,94
418.1,94
420.52,99
422.94,95
425.36,99
427.78,98
430.2,95
432.62,97
435.04,97
437.46,97
439.88,99
442.3,98
444.72,99
447.14,99
449.56,100
451.98,93
454.4,94
456.82,92
459.24,95
461.66,92
464.08,89
466.5,90
468.92,92
471.34,94
473.76,91
476.18,94
478.6,95
481.02,94
483.44,92
