X,ieee802154Narrow.computer[0].appl/received-no-repeated-packets-per-period
1.86,80
4.28,88
6.7,91
9.12,91
11.54,89
13.96,90
16.38,88
18.8,89
21.22,88
23.64,91
26.06,89
28.48,90
30.9,88
33.32,92
35.74,89
38.16,89
40.58,85
43,92
45.42,90
47.84,90
50.26,95
52.68,94
55.1,90
57.52,90
59.94,89
62.36,86
64.78,83
67.2,88
69.62,91
72.04,96
74.46,93
76.88,89
79.3,88
81.72,93
84.14,94
86.56,94
88.98,92
91.4,98
93.82,92
96.24,90
98.66,88
101.08,95
103.5,93
105.92,88
108.34,92
110.76,91
113.18,89
115.6,91
118.02,92
120.44,94
122.86,96
125.28,96
127.7,95
130.12,97
132.54,97
134.96,97
137.38,98
139.8,96
142.22,101
144.64,101
147.06,101
149.48,103
151.9,100
154.32,100
156.74,97
159.16,101
161.58,102
164,97
166.42,101
168.84,101
171.26,102
173.68,99
176.1,98
178.52,99
180.94,102
183.36,102
185.78,99
188.2,100
190.62,100
193.04,97
195.46,93
197.88,93
200.3,93
202.72,94
205.14,95
207.56,97
209.98,99
212.4,100
214.82,102
217.24,103
219.66,104
222.08,101
224.5,99
226.92,99
229.34,96
231.76,95
234.18,98
236.6,97
239.02,97
241.44,96
243.86,97
246.28,93
248.7,92
251.12,93
253.54,95
255.96,96
258.38,97
260.8,97
263.22,99
265.64,101
268.06,100
270.48,103
272.9,99
275.32,98
277.74,98
280.16,99
282.58,99
285,94
287.42,97
289.84,94
292.26,96
294.68,97
297.1,95
299.52,95
301.94,95
304.36,92
306.78,93
309.2,93
311.62,94
314.04,97
316.46,97
318.88,97
321.3,95
323.72,96
326.14,100
328.56,98
330.98,96
333.4,97
335.82,95
338.24,95
340.66,92
343.08,93
345.5,98
347.92,100
350.34,98
352.76,98
355.18,99
357.6,103
360.02,98
362.44,102
364.86,103
367.28,100
369.7,101
372.12,101
374.54,100
376.96,99
379.38,97
381.8,91
384.22,92
386.64,88
389.06,90
391.48,91
393.9,90
396.32,92
398.74,91
401.16,92
403.58,92
406,91
408.42,91
410.84,88
413.26,94
415.68,92
418.1,94
420.52,95
422.94,98
425.36,101
427.78,100
430.2,99
432.62,97
435.04,96
437.46,98
439.88,99
442.3,97
444.72,97
447.14,94
449.56,100
451.98,99
454.4,92
456.82,95
459.24,96
461.66,95
464.08,96
466.5,98
468.92,101
471.34,100
473.76,97
476.18,96
478.6,93
481.02,93
483.44,90
