X,ieee802154Narrow.anchor[0].appl/Number of packets from this anchor,ieee802154Narrow.anchor[1].appl/Number of packets from this anchor,ieee802154Narrow.anchor[2].appl/Number of packets from this anchor,ieee802154Narrow.anchor[3].appl/Number of packets from this anchor,ieee802154Narrow.anchor[4].appl/Number of packets from this anchor,ieee802154Narrow.anchor[5].appl/Number of packets from this anchor,ieee802154Narrow.anchor[6].appl/Number of packets from this anchor,ieee802154Narrow.anchor[7].appl/Number of packets from this anchor,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor,ieee802154Narrow.anchor[9].appl/Number of packets from this anchor,ieee802154Narrow.anchor[10].appl/Number of packets from this anchor,ieee802154Narrow.anchor[11].appl/Number of packets from this anchor,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor,ieee802154Narrow.anchor[13].appl/Number of packets from this anchor,ieee802154Narrow.anchor[14].appl/Number of packets from this anchor,ieee802154Narrow.anchor[15].appl/Number of packets from this anchor,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor,ieee802154Narrow.anchor[17].appl/Number of packets from this anchor,ieee802154Narrow.anchor[18].appl/Number of packets from this anchor,ieee802154Narrow.anchor[19].appl/Number of packets from this anchor,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor,ieee802154Narrow.anchor[21].appl/Number of packets from this anchor,ieee802154Narrow.anchor[22].appl/Number of packets from this anchor,ieee802154Narrow.anchor[23].appl/Number of packets from this anchor,ieee802154Narrow.anchor[24].appl/Number of packets from this anchor
0.82,2,5,4,1,0,4,8,8,2,0,3,8,6,4,2,0,4,7,7,3,0,1,4,5,4
3.24,2,6,4,0,0,4,8,8,2,0,2,8,6,4,2,0,4,7,7,3,0,1,6,5,4
5.66,2,5,4,0,0,4,8,8,1,0,2,8,7,5,2,0,4,7,7,3,0,1,6,5,4
8.08,2,5,4,0,0,4,8,8,1,0,2,9,7,7,1,0,4,7,7,3,0,2,6,6,4
10.5,2,5,3,0,0,4,8,8,1,0,2,9,8,7,1,0,4,7,7,3,0,2,6,6,3
12.92,2,5,3,0,0,5,8,8,1,0,2,9,8,7,1,0,4,8,7,4,0,2,6,6,3
15.34,2,5,4,0,0,5,8,8,2,0,4,9,9,5,1,0,4,9,7,4,0,2,6,6,3
17.76,2,5,4,0,0,5,8,8,2,0,3,9,9,5,1,0,3,9,7,4,0,2,6,6,3
20.18,3,5,5,0,0,4,8,8,2,0,3,9,14,5,1,0,4,10,7,4,0,2,6,6,3
22.6,3,5,5,0,0,4,8,8,2,0,2,9,14,5,1,0,4,10,7,4,0,2,6,6,2
25.02,1,5,5,0,0,4,8,8,3,0,2,9,14,5,1,0,4,10,7,4,0,2,6,6,1
27.44,1,5,5,0,0,4,8,8,3,0,2,9,14,6,1,0,5,10,7,4,0,2,6,6,1
29.86,1,4,5,0,0,4,8,8,3,0,2,9,13,6,1,0,5,10,7,4,0,3,6,6,1
32.28,1,4,5,0,0,5,8,8,3,0,2,8,13,7,1,0,5,10,7,4,0,3,6,6,1
34.7,1,4,4,0,0,5,8,8,3,0,3,9,13,7,1,0,5,9,8,3,0,3,6,6,1
37.12,1,3,5,0,0,5,8,8,3,0,3,9,13,7,1,0,6,8,8,3,0,3,6,6,1
39.54,1,3,4,0,0,3,8,8,3,0,3,9,13,7,2,0,6,8,8,3,0,3,7,6,1
41.96,1,3,3,0,0,3,7,8,4,0,3,10,13,7,2,0,6,8,8,3,0,4,6,5,1
44.38,1,3,3,0,0,3,7,8,4,0,3,11,13,7,1,0,7,9,8,3,0,4,6,5,1
46.8,1,2,3,0,0,3,7,8,3,0,3,11,13,7,1,0,7,9,8,3,0,2,6,5,1
49.22,1,2,4,1,0,3,7,8,3,0,3,10,14,7,1,1,7,9,8,3,0,2,6,4,1
51.64,1,2,4,2,0,2,7,8,4,0,2,10,14,7,1,1,7,9,8,3,0,2,6,3,0
54.06,1,2,4,2,0,2,7,8,4,0,2,10,14,8,1,1,7,9,8,3,0,2,6,3,0
56.48,1,2,4,2,0,2,6,8,4,0,2,9,15,10,1,1,9,10,7,1,0,2,6,3,0
58.9,0,2,4,2,0,2,6,8,4,1,1,9,15,10,1,1,9,11,7,1,0,2,6,3,0
61.32,0,2,4,2,0,2,6,8,4,1,1,9,15,11,1,1,10,11,7,1,0,2,5,3,0
63.74,0,1,4,3,0,2,6,9,5,1,1,9,15,11,1,1,10,11,7,1,0,2,5,3,0
66.16,0,1,4,3,0,1,6,9,5,1,1,9,14,11,1,1,9,11,7,1,0,2,5,3,0
68.58,0,1,4,3,0,1,5,9,5,1,1,9,14,11,1,1,9,11,7,1,0,2,5,3,0
71,0,1,4,3,0,1,5,9,5,3,1,8,14,11,1,1,9,11,7,1,0,2,4,3,0
73.42,0,1,4,3,0,1,5,9,5,3,1,8,14,11,1,1,9,11,7,1,0,3,4,3,0
75.84,0,1,4,3,1,0,5,10,6,3,1,9,14,11,1,1,9,11,5,0,0,3,3,2,0
78.26,0,1,4,3,1,0,4,10,6,3,1,9,14,11,2,1,9,10,6,0,0,2,3,2,0
80.68,0,1,4,3,1,0,6,10,7,3,1,9,14,10,2,1,9,10,6,0,0,2,3,2,0
83.1,0,1,3,3,1,0,6,10,7,3,2,10,13,9,2,1,9,10,7,0,1,3,3,2,0
85.52,0,1,3,3,1,0,5,9,7,4,2,10,13,9,2,2,9,10,7,0,1,4,3,2,0
87.94,0,1,3,3,1,0,4,10,7,4,3,10,13,9,2,2,9,10,7,0,1,4,4,0,0
90.36,0,1,3,3,1,0,4,10,7,4,3,9,13,10,2,2,8,10,6,0,1,4,4,0,0
92.78,0,1,3,3,1,0,4,10,7,4,3,9,13,10,2,2,8,10,5,0,1,4,4,0,0
95.2,0,1,3,3,1,0,4,10,7,4,2,9,13,10,2,2,8,9,4,0,1,4,5,0,0
97.62,0,1,3,5,1,0,4,10,7,4,2,10,13,10,3,2,8,10,4,0,1,4,5,0,0
100.04,0,0,2,5,1,0,4,10,7,4,2,10,13,10,3,2,8,10,4,0,1,4,5,0,0
102.46,0,0,2,5,1,0,5,10,7,4,2,10,13,10,3,3,8,10,3,0,1,4,5,0,0
104.88,0,0,1,5,1,0,5,9,7,4,2,9,13,10,3,3,8,10,3,0,1,4,5,0,0
107.3,0,0,2,4,1,1,5,8,7,4,2,9,13,7,3,3,8,9,3,0,1,4,6,0,0
109.72,0,0,2,4,1,1,5,9,7,4,2,9,13,7,3,3,8,9,4,0,1,4,6,1,0
112.14,0,0,3,4,1,1,5,9,7,4,2,9,13,8,3,3,8,8,3,0,1,4,5,1,0
114.56,0,0,3,3,1,2,5,9,7,4,2,8,13,8,3,2,8,7,4,0,1,4,5,1,0
