X,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor
0.82,4
3.24,4
5.66,4
8.08,4
10.5,4
12.92,4
15.34,3
17.76,3
20.18,3
22.6,3
25.02,3
27.44,3
29.86,3
32.28,3
34.7,3
37.12,3
39.54,3
41.96,3
44.38,3
46.8,3
49.22,3
51.64,3
54.06,3
56.48,3
58.9,4
61.32,4
63.74,5
66.16,5
68.58,5
71,5
73.42,5
75.84,5
78.26,5
80.68,5
83.1,5
85.52,5
87.94,5
90.36,5
92.78,5
95.2,5
97.62,5
100.04,5
102.46,5
104.88,5
107.3,5
109.72,5
112.14,5
114.56,4
116.98,3
119.4,3
121.82,2
124.24,2
126.66,3
129.08,3
131.5,3
133.92,3
136.34,3
138.76,3
141.18,4
143.6,5
146.02,5
148.44,5
150.86,5
153.28,5
155.7,5
158.12,5
160.54,5
162.96,5
165.38,5
167.8,5
170.22,5
172.64,5
175.06,5
177.48,5
179.9,5
182.32,5
184.74,5
187.16,5
189.58,6
192,5
194.42,5
196.84,5
199.26,5
201.68,5
204.1,4
206.52,4
208.94,3
211.36,3
213.78,3
216.2,3
218.62,3
221.04,2
223.46,3
225.88,3
228.3,3
230.72,3
233.14,3
235.56,3
237.98,3
240.4,3
242.82,3
245.24,3
247.66,3
250.08,3
252.5,3
254.92,3
257.34,3
259.76,3
262.18,3
264.6,3
267.02,3
269.44,3
271.86,3
274.28,3
276.7,3
279.12,3
281.54,3
283.96,3
286.38,3
288.8,3
291.22,3
293.64,3
296.06,5
298.48,5
300.9,5
303.32,5
305.74,5
308.16,5
310.58,5
313,5
315.42,5
317.84,5
320.26,5
322.68,4
325.1,4
327.52,4
329.94,4
332.36,5
334.78,5
337.2,5
339.62,5
342.04,4
344.46,4
346.88,4
349.3,5
351.72,5
354.14,5
356.56,5
358.98,5
361.4,5
363.82,5
366.24,5
368.66,5
371.08,5
373.5,5
375.92,5
378.34,5
380.76,5
383.18,5
385.6,5
388.02,5
390.44,5
392.86,5
395.28,5
397.7,5
400.12,5
402.54,3
404.96,3
407.38,4
409.8,5
412.22,4
414.64,4
417.06,4
419.48,4
421.9,4
424.32,4
426.74,4
429.16,4
431.58,4
434,4
436.42,4
438.84,3
441.26,3
443.68,3
446.1,3
448.52,3
450.94,3
453.36,3
455.78,3
458.2,3
460.62,3
463.04,3
465.46,3
467.88,3
470.3,3
472.72,3
475.14,3
477.56,3
479.98,3
482.4,3
