X,ieee802154Narrow.anchor[20].appl/Number of AN Reports with ACK
1.86,0
4.28,0
6.7,0
9.12,0
11.54,0
13.96,0
16.38,0
18.8,0
21.22,0
23.64,0
26.06,0
28.48,0
30.9,0
33.32,0
35.74,0
38.16,0
40.58,0
43,0
45.42,0
47.84,0
50.26,0
52.68,0
55.1,0
57.52,0
59.94,0
62.36,0
64.78,0
67.2,0
69.62,0
72.04,0
74.46,0
76.88,0
79.3,0
81.72,0
84.14,0
86.56,0
88.98,0
91.4,0
93.82,0
96.24,0
98.66,0
101.08,0
103.5,0
105.92,0
108.34,0
110.76,1
113.18,1
115.6,1
118.02,1
120.44,1
122.86,1
125.28,1
127.7,1
130.12,1
132.54,1
134.96,1
137.38,1
139.8,1
142.22,1
144.64,1
147.06,1
149.48,1
151.9,1
154.32,1
156.74,1
159.16,1
161.58,1
164,1
166.42,1
168.84,1
171.26,1
173.68,1
176.1,1
178.52,1
180.94,1
183.36,1
185.78,1
188.2,1
190.62,1
193.04,1
195.46,1
197.88,1
200.3,1
202.72,1
205.14,1
207.56,1
209.98,1
212.4,1
214.82,1
217.24,1
219.66,0
222.08,0
224.5,1
226.92,1
229.34,1
231.76,1
234.18,1
236.6,1
239.02,1
241.44,1
243.86,1
246.28,1
248.7,1
251.12,1
253.54,1
255.96,1
258.38,1
260.8,1
263.22,1
265.64,1
268.06,1
270.48,1
272.9,1
275.32,1
277.74,1
280.16,1
282.58,1
285,1
287.42,1
289.84,1
292.26,1
294.68,1
297.1,1
299.52,1
301.94,1
304.36,0
306.78,0
309.2,0
311.62,0
314.04,0
316.46,0
318.88,0
321.3,0
323.72,0
326.14,0
328.56,0
330.98,0
333.4,0
335.82,0
338.24,0
340.66,0
343.08,0
345.5,0
347.92,0
350.34,0
352.76,0
355.18,0
357.6,0
360.02,0
362.44,0
364.86,0
367.28,0
369.7,0
372.12,0
374.54,0
376.96,0
379.38,0
381.8,0
384.22,0
386.64,0
389.06,0
391.48,0
393.9,0
396.32,0
398.74,0
401.16,0
403.58,0
406,0
408.42,0
410.84,0
413.26,0
415.68,0
418.1,0
420.52,0
422.94,0
425.36,0
427.78,0
430.2,0
432.62,0
435.04,0
437.46,0
439.88,0
442.3,0
444.72,1
447.14,1
449.56,1
451.98,1
454.4,1
456.82,1
459.24,1
461.66,1
464.08,1
466.5,1
468.92,1
471.34,1
473.76,1
476.18,1
478.6,1
481.02,0
483.44,0
